num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,1,60,1,0,2.0,0.1,0,0,2000,2000,150,300,3,10,4,0,0,0,0,0,9,0.0082,0.00511642
50,1,60,1,0,2.0,0.1,0,1,2000,2000,150,300,3,10,4,0,0,0,0,0,10,0.0861,0.00819824
50,1,60,1,0,2.5,0.1,0,0,2000,2000,150,300,0,10,1,0,0,0,0,0,11,0.0066,0.00518973
50,1,60,1,0,2.5,0.1,0,1,2000,2000,150,300,0,10,2,0,0,0,0,0,12,0.1539,0.0764976
50,1,60,1,0,2.5,0.1,0,0,2000,2000,150,300,1,10,1,0,0,0,0,0,11,0.0111,0.00674043
50,1,60,1,0,2.5,0.1,0,1,2000,2000,150,300,1,10,2,0,0,0,0,0,12,0.1238,0.0487347
50,1,60,1,0,2.5,0.1,0,0,2000,2000,150,300,2,10,2,0,0,0,0,0,11,0.006,0.00163299
50,1,60,1,0,2.5,0.1,0,1,2000,2000,150,300,2,10,3,0,0,0,0,0,12,0.0924,0.0085531
50,1,60,1,0,2.5,0.1,0,0,2000,2000,150,300,3,10,3,0,0,0,0,0,11,0.0079,0.00548635
50,1,60,1,0,2.5,0.1,0,1,2000,2000,150,300,3,10,3,0,0,0,0,0,12,0.0749,0.00460555
50,1,80,1,0,1.5,0.1,0,0,2000,2000,150,300,0,10,2,0,0,0,0,0,13,0.0055,0.00201384
50,1,80,1,0,1.5,0.1,0,1,2000,2000,150,300,0,10,3,0,0,0,0,0,14,0.0811,0.0184779
50,1,80,1,0,1.5,0.1,0,0,2000,2000,150,300,1,10,2,0,0,0,0,0,13,0.0064,0.00177639
50,1,80,1,0,1.5,0.1,0,1,2000,2000,150,300,1,10,3,0,0,0,0,0,14,0.0997,0.040716
50,1,80,1,0,1.5,0.1,0,0,2000,2000,150,300,2,10,4,0,0,0,0,0,13,0.0078,0.00520256
